,Title,Stars,Img_url,Price (pounds),id,Price (euros),Text,Text (es),Text (ch)
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,../../media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg,31.05,31,36.33,"""The Five Love Languages: How to Express Heartfelt Commitment to Your Mate"" is a bestselling relationship guide by Dr. Gary Chapman. This insightful book explores the concept of love languages, which are the five different ways individuals perceive and express love: words of affirmation, acts of service, receiving gifts, quality time, and physical touch. By understanding and speaking their partner's primary love language, couples can deepen their emotional connection, enhance communication, and foster a more fulfilling and intimate relationship. With practical examples, real-life stories, and actionable advice, ""The Five Love Languages"" is a valuable resource for couples seeking to strengthen their bond and build long-lasting love.","""Los cinco lenguajes del amor: cómo expresar un compromiso sincero con su pareja"" es una guía de relaciones exitosa escrita por el Dr. Gary Chapman. Este revelador libro explora el concepto de lenguajes del amor, que son las cinco formas diferentes en que las personas perciben y expresan el amor: palabras de afirmación, actos de servicio, recepción de regalos, tiempo de calidad y contacto físico. Al comprender y hablar el lenguaje principal del amor de su pareja, las parejas pueden profundizar su conexión emocional, mejorar la comunicación y fomentar una relación más íntima y satisfactoria. Con ejemplos prácticos, historias de la vida real y consejos prácticos, ""Los cinco lenguajes del amor"" es un recurso valioso para las parejas que buscan fortalecer su vínculo y construir un amor duradero.",《五种爱的语言：如何向伴侣表达衷心的承诺》是加里·查普曼博士撰写的畅销恋爱指南。这本富有洞察力的书探讨了爱语言的概念，即个人感知和表达爱的五种不同方式：肯定的言语、服务的行为、接受礼物、美好的时光和身体的接触。通过理解和说出伴侣的主要爱语言，夫妻可以加深情感联系，加强沟通，培养更充实、更亲密的关系。 《爱的五种语言》通过实例、现实生活中的故事和可行的建议，对于寻求加强联系和建立持久爱情的夫妻来说是宝贵的资源。
32,The Elephant Tree,5,../../media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg,23.82,32,27.87,"""The Elephant Tree"" is a gripping novel by R.D. Ronald that delves into themes of loyalty, family, and the search for redemption. Through the intertwined perspectives of three childhood friends, the story explores the consequences of their past actions and the sacrifices they are willing to make to protect their loved ones. As the characters navigate their way through a complex web of crime and secrets, Ronald skillfully weaves a tale of suspense, morality, and the complexities of human relationships. With its evocative storytelling and compelling characters, ""The Elephant Tree"" offers readers a thought-provoking and emotionally charged narrative.","""The Elephant Tree"" es una apasionante novela de R.D. Ronald que profundiza en temas de lealtad, familia y la búsqueda de redención. A través de las perspectivas entrelazadas de tres amigos de la infancia, la historia explora las consecuencias de sus acciones pasadas y los sacrificios que están dispuestos a hacer para proteger a sus seres queridos. Mientras los personajes navegan a través de una compleja red de crímenes y secretos, Ronald teje hábilmente una historia de suspenso, moralidad y las complejidades de las relaciones humanas. Con su narración evocadora y personajes convincentes, ""El árbol del elefante"" ofrece a los lectores una narrativa estimulante y cargada de emociones.",《大象树》是 R.D. 罗纳德的一部扣人心弦的小说，深入探讨了忠诚、家庭和寻求救赎的主题。故事通过三个儿时好友相互交织的视角，探讨了他们过去行为的后果以及他们愿意为保护亲人而做出的牺牲。当角色们在一张充满犯罪和秘密的复杂网络中前行时，罗纳德巧妙地编织了一个充满悬念、道德和复杂人际关系的故事。 《大象树》以其令人回味的故事讲述和引人入胜的人物，为读者提供了发人深省且充满情感的叙述。
33,The Bear and the Piano,1,../../media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg,36.89,33,43.16,"""The Bear and the Piano"" is a heartwarming children's book written and illustrated by David Litchfield. The story follows a bear cub who discovers a piano in the forest and becomes a talented musician. As he gains fame and recognition in the city, the bear realizes he misses his friends and the simplicity of his old life. With beautiful illustrations and a touching narrative, ""The Bear and the Piano"" teaches young readers about friendship, following their passion, and the importance of staying true to oneself.","""El oso y el piano"" es un conmovedor libro infantil escrito e ilustrado por David Litchfield. La historia sigue a un cachorro de oso que descubre un piano en el bosque y se convierte en un músico talentoso. A medida que gana fama y reconocimiento en la ciudad, el oso se da cuenta de que extraña a sus amigos y la sencillez de su antigua vida. Con bellas ilustraciones y una narrativa conmovedora, ""El oso y el piano"" enseña a los jóvenes lectores sobre la amistad, cómo seguir su pasión y la importancia de mantenerse fiel a uno mismo.",《熊和钢琴》是一本温馨的儿童读物，由大卫·利奇菲尔德撰写并绘制插图。故事讲述了一只小熊在森林里发现了一架钢琴，并成为一名才华横溢的音乐家。随着他在城市中获得名气和认可，这只熊意识到他想念他的朋友和他过去的简单生活。 《熊与钢琴》通过精美的插图和感人的叙述，向年轻读者传授友谊、追随激情以及忠于自我的重要性。
34,Sophie's World,5,../../media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg,15.94,34,18.65,"""Sophie's World"" is a philosophical novel written by Jostein Gaarder. The story revolves around a teenage girl named Sophie who starts receiving mysterious letters that introduce her to the history of philosophy. Through her encounters with a philosophy tutor named Alberto, Sophie embarks on a journey through the great thinkers and their philosophical ideas. Gaarder skillfully weaves philosophical concepts into a coming-of-age tale, expanding readers' understanding of philosophy while captivating them with an engaging narrative. ""Sophie's World"" is a thought-provoking book that explores fundamental questions about life, existence, and the nature of reality.","""El mundo de Sophie"" es una novela filosófica escrita por Jostein Gaarder. La historia gira en torno a una adolescente llamada Sophie que comienza a recibir misteriosas cartas que la introducen en la historia de la filosofía. A través de sus encuentros con un profesor de filosofía llamado Alberto, Sophie se embarca en un viaje a través de los grandes pensadores y sus ideas filosóficas. Gaarder entrelaza hábilmente conceptos filosóficos en una historia sobre la mayoría de edad, ampliando la comprensión de la filosofía de los lectores y al mismo tiempo cautivándolos con una narrativa atractiva. ""El mundo de Sophie"" es un libro que invita a la reflexión y explora cuestiones fundamentales sobre la vida, la existencia y la naturaleza de la realidad.",《苏菲的世界》是乔斯坦·加德创作的一部哲学小说。故事围绕一个名叫索菲的少女展开，她开始收到神秘的信件，向她介绍哲学史。通过遇到一位名叫阿尔贝托的哲学导师，苏菲踏上了了解伟大思想家及其哲学思想的旅程。加德巧妙地将哲学概念融入到成长故事中，扩大读者对哲学的理解，同时以引人入胜的叙述吸引他们。 《苏菲的世界》是一本发人深省的书，探讨了有关生命、存在和现实本质的基本问题。
35,Penny Maybe,3,../../media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg,33.29,35,38.95,"I'm sorry, but I couldn't find any information on a book called ""Penny Maybe"". It's possible that it is either a less well-known or unpublished book. Is there anything else I can assist you with?","Lo siento, pero no pude encontrar ninguna información sobre un libro llamado ""Penny Maybe"". Es posible que sea un libro menos conocido o inédito. ¿Hay algo más con que te puedo ayudar?",抱歉，我找不到有关名为“Penny Maybe”的书的任何信息。它可能是一本不太知名或未出版的书。还有什么我可以帮助您的吗？
36,Maude (1883-1993):She Grew Up with the country,2,../../media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg,18.02,36,21.08,"I apologize, but there isn't enough information provided to accurately determine the text of ""Maude (1883-1993): She Grew Up with the Country"". It could potentially be the title of a book or a historical account, but without further context, it is difficult to provide a specific response.","Pido disculpas, pero no se ha proporcionado suficiente información para determinar con precisión el texto de ""Maude (1883-1993): Ella creció con el campo"". Podría ser potencialmente el título de un libro o un relato histórico, pero sin más contexto, es difícil dar una respuesta específica.",我很抱歉，但没有提供足够的信息来准确确定“莫德（1883-1993）：她与乡村一起长大”的文本。它可能是一本书的标题或历史记录，但如果没有进一步的上下文，很难提供具体的回应。
37,"In a Dark, Dark Wood",1,../../media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,19.63,37,22.97,"""In a Dark, Dark Wood"" is a psychological thriller novel written by Ruth Ware. The story revolves around a reclusive writer who attends a bachelorette party in an isolated cabin, only to uncover dark secrets from her past as the weekend takes a sinister turn.","""In a Dark, Dark Wood"" es una novela de suspenso psicológico escrita por Ruth Ware. La historia gira en torno a una escritora solitaria que asiste a una despedida de soltera en una cabaña aislada, sólo para descubrir oscuros secretos de su pasado mientras el fin de semana toma un giro siniestro.",《在黑暗、黑暗的森林里》是露丝·韦尔创作的一部心理惊悚小说。故事围绕一位隐居作家展开，她参加了一间偏僻小屋中的单身派对，却在周末发生险恶转折时揭开了她过去的黑暗秘密。
38,Behind Closed Doors,4,../../media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg,52.22,38,61.1,"""Behind Closed Doors"" is a psychological thriller novel written by B.A. Paris. The story follows a seemingly perfect couple, but as the title suggests, it delves into the dark secrets and abusive nature of their relationship that are hidden from the outside world.","""A puertas cerradas"" es una novela de suspenso psicológico escrita por B.A. París. La historia sigue a una pareja aparentemente perfecta, pero como sugiere el título, profundiza en los oscuros secretos y la naturaleza abusiva de su relación que están ocultos al mundo exterior.",《关起门来》是B.A. 创作的一部心理惊悚小说。巴黎。这个故事讲述了一对看似完美的情侣，但正如标题所暗示的那样，它深入探讨了他们关系中向外界隐藏的黑暗秘密和虐待本质。
39,You can't bury them all: Poems,2,../../media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg,33.63,39,39.35,"""You Can't Bury Them All: Poems"" is a poetry collection written by Patrick Roche. The collection explores themes of mortality, loss, and the human experience through poignant and thought-provoking verses. The poems touch on a variety of subjects, offering a raw and introspective look into life's complexities and the struggle to find meaning and solace in the face of adversity.","""No puedes enterrarlos a todos: poemas"" es una colección de poesía escrita por Patrick Roche. La colección explora temas de mortalidad, pérdida y la experiencia humana a través de versos conmovedores y que invitan a la reflexión. Los poemas abordan una variedad de temas y ofrecen una mirada cruda e introspectiva a las complejidades de la vida y la lucha por encontrar significado y consuelo ante la adversidad.",《你不能把它们全部埋葬：诗歌》是帕特里克·罗奇写的一本诗集。该集通过辛酸且发人深省的诗句探讨了死亡、损失和人类经历的主题。这些诗歌涉及各种主题，对生活的复杂性以及在逆境中寻找意义和安慰的斗争进行了原始和内省的审视。
40,Slow States of Collapse: Poems,3,../../media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg,57.31,40,67.05,"""Slow States of Collapse: Poems"" is a poetry collection written by Ashley Capps. This collection captures the gradual deterioration of personal, societal, and environmental systems through vivid imagery and introspective verses. It delves into themes of decay, uncertainty, and the fragility of existence, offering a meditative exploration of the human condition and the slow unraveling of the world around us.","""Estados lentos de colapso: poemas"" es una colección de poesía escrita por Ashley Capps. Esta colección captura el deterioro gradual de los sistemas personales, sociales y ambientales a través de imágenes vívidas y versos introspectivos. Profundiza en temas de decadencia, incertidumbre y fragilidad de la existencia, ofreciendo una exploración meditativa de la condición humana y el lento desmoronamiento del mundo que nos rodea.",《缓慢的崩溃状态：诗歌》是阿什利·卡普斯写的一本诗集。该集通过生动的图像和内省的诗句捕捉了个人、社会和环境系统的逐渐恶化。它深入探讨了衰败、不确定性和存在的脆弱性等主题，对人类状况和我们周围世界的缓慢瓦解进行了冥想探索。
41,Reasons to Stay Alive,2,../../media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg,26.41,41,30.9,"""Reasons to Stay Alive"" is a memoir written by Matt Haig. The book chronicles the author's personal journey through depression and anxiety, offering an honest and raw account of his experiences. Haig shares his own struggles and provides insights, advice, and reasons to hold on during the darkest times. It is a powerful and uplifting exploration of mental health, resilience, and the importance of finding hope and meaning in life.","""Razones para mantenerse vivo"" es una memoria escrita por Matt Haig. El libro narra el viaje personal del autor a través de la depresión y la ansiedad, ofreciendo un relato honesto y crudo de sus experiencias. Haig comparte sus propias luchas y brinda ideas, consejos y razones para resistir en los tiempos más oscuros. Es una exploración poderosa y edificante de la salud mental, la resiliencia y la importancia de encontrar esperanza y significado en la vida.",《活下去的理由》是马特·黑格撰写的回忆录。这本书记录了作者经历抑郁和焦虑的个人历程，诚实而真实地描述了他的经历。黑格分享了他自己的挣扎，并提供了在最黑暗时期坚持下去的见解、建议和理由。这是对心理健康、复原力以及在生活中寻找希望和意义的重要性的有力而令人振奋的探索。
42,Private Paris (Private #10),5,../../media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,47.61,42,55.7,"""Private Paris (Private #10)"" is a crime thriller novel written by James Patterson and Mark Sullivan. It is part of the popular ""Private"" series, following the exploits of former CIA agent Jack Morgan and his private investigation company. In this installment, Morgan and his team are faced with a high-stakes case in Paris, where they must track down a ruthless killer targeting the city's elite. With intense action, suspense, and intricately woven plotlines, ""Private Paris"" delivers a captivating tale of mystery and intrigue in the City of Light.","""Private Paris (Private #10)"" es una novela de suspenso y crimen escrita por James Patterson y Mark Sullivan. Es parte de la popular serie ""Private"", que sigue las hazañas del ex agente de la CIA Jack Morgan y su empresa de investigación privada. En esta entrega, Morgan y su equipo se enfrentan a un caso de alto riesgo en París, donde deben localizar a un asesino despiadado que tiene como objetivo a la élite de la ciudad. Con acción intensa, suspenso y tramas intrincadamente tejidas, ""Private Paris"" ofrece una cautivadora historia de misterio e intriga en la Ciudad de la Luz.",《私人巴黎（Private #10）》是一部由詹姆斯·帕特森和马克·沙利文撰写的犯罪惊悚小说。这是热门“私人”系列的一部分，讲述了前中央情报局特工杰克·摩根和他的私人调查公司的功绩。在本集中，摩根和他的团队在巴黎面临着一起高风险案件，他们必须追查一名针对该市精英的残酷杀手。 《私人巴黎》以激烈的动作、悬念和错综复杂的情节，讲述了光之城中一个充满神秘和阴谋的迷人故事。
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,../../media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg,23.11,43,27.04,"""#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe."" is a self-help book written by Lucy Sheridan and Jo Westwood. The book explores the concept of the ""Higher Self"" and provides guidance on how to awaken one's life and find one's purpose. It emphasizes the importance of self-care, self-discovery, and connecting with like-minded individuals to create a fulfilling and authentic life. Through practical exercises, personal anecdotes, and spiritual teachings, ""#HigherSelfie"" offers readers a roadmap to live a more meaningful and empowered existence.","""#HigherSelfie: Despierta tu vida. Libera tu alma. Encuentra tu tribu"". es un libro de autoayuda escrito por Lucy Sheridan y Jo Westwood. El libro explora el concepto del ""Yo Superior"" y proporciona orientación sobre cómo despertar la vida y encontrar el propósito. Enfatiza la importancia del cuidado personal, el autodescubrimiento y la conexión con personas con ideas afines para crear una vida auténtica y plena. A través de ejercicios prácticos, anécdotas personales y enseñanzas espirituales, ""#HigherSelfie"" ofrece a los lectores una hoja de ruta para vivir una existencia más significativa y empoderada.",“#HigherSelfie：唤醒你的生活。释放你的灵魂。找到你的部落。”是一本由露西·谢里丹和乔·韦斯特伍德撰写的自助书。本书探讨了“更高自我”的概念，并为如何唤醒一个人的生命并找到一个人的目标提供了指导。它强调自我照顾、自我发现以及与志同道合的人联系以创造充实而真实的生活的重要性。通过实践练习、个人轶事和精神教导，“#HigherSelfie”为读者提供了一个路线图，让他们过上更有意义、更有力量的生活。
44,Without Borders (Wanderlove #1),2,../../media/cache/de/26/de269ee688d4dc51846567f3942600ce.jpg,45.07,44,52.73,"""Without Borders (Wanderlove #1)"" is a young adult contemporary romance novel written by Amanda Heger. The book tells the story of Charlotte, a recent college graduate who decides to embark on a volunteering trip to Central America, hoping to find adventure and purpose. However, her plans take an unexpected turn when she meets Jesse, a charming fellow traveler. As they navigate cultural differences, personal demons, and unexpected attractions, Charlotte and Jesse find themselves on a journey of self-discovery, love, and the importance of following one's passions. ""Without Borders"" is a tale of adventure, growth, and the transformative power of travel.","""Sin Fronteras (Wanderlove #1)"" es una novela romántica contemporánea para adultos jóvenes escrita por Amanda Heger. El libro cuenta la historia de Charlotte, una recién graduada universitaria que decide embarcarse en un viaje de voluntariado a Centroamérica, con la esperanza de encontrar aventuras y un propósito. Sin embargo, sus planes dan un giro inesperado cuando conoce a Jesse, un encantador compañero de viaje. Mientras navegan por diferencias culturales, demonios personales y atracciones inesperadas, Charlotte y Jesse se encuentran en un viaje de autodescubrimiento, amor y la importancia de seguir las propias pasiones. ""Sin Fronteras"" es una historia de aventura, crecimiento y el poder transformador de los viajes.",《无国界（Wanderlove #1）》是阿曼达·黑格尔（Amanda Heger）创作的一部当代青少年浪漫小说。这本书讲述了夏洛特的故事，她是一名刚毕业的大学毕业生，她决定踏上中美洲的志愿之旅，希望找到冒险和目标。然而，当她遇到迷人的旅伴杰西时，她的计划发生了意想不到的转变。当夏洛特和杰西克服文化差异、个人恶魔和意想不到的吸引力时，他们发现自己踏上了自我发现、爱情和追随激情的重要性的旅程。 《无国界》是一个关于冒险、成长和旅行的变革力量的故事。
45,When We Collided,1,../../media/cache/17/db/17db3de71e8217d4277a9328b04f56cf.jpg,31.77,45,37.17,"""When We Collided"" is a young adult novel written by Emery Lord. The book follows the intertwining lives of Jonah Daniels and Vivi Alexander as they navigate the complexities of love, loss, and mental health in their small coastal town. Jonah is struggling to keep his family afloat after the death of his father, while Vivi, a vibrant and mysterious girl, brings a whirlwind of energy and unexpected emotions into his life. As their relationship develops, both characters find solace and healing in each other, but also confront their own personal demons. ""When We Collided"" explores themes of grief, mental illness, and the profound impact of human connection.","""When We Collided"" es una novela para adultos jóvenes escrita por Emery Lord. El libro sigue las vidas entrelazadas de Jonah Daniels y Vivi Alexander mientras navegan por las complejidades del amor, la pérdida y la salud mental en su pequeño pueblo costero. Jonah lucha por mantener a flote a su familia tras la muerte de su padre, mientras Vivi, una chica vibrante y misteriosa, trae un torbellino de energía y emociones inesperadas a su vida. A medida que su relación se desarrolla, ambos personajes encuentran consuelo y curación el uno en el otro, pero también enfrentan sus propios demonios personales. ""When We Collided"" explora temas de duelo, enfermedades mentales y el profundo impacto de la conexión humana.",《当我们相撞时》是埃默里·洛德创作的一部青少年小说。这本书讲述了乔纳·丹尼尔斯和维维·亚历山大交织的生活，他们在沿海小镇上应对爱情、失去和心理健康的复杂问题。父亲去世后，乔纳正在努力维持家庭的生计，而薇薇，一个充满活力而神秘的女孩，给他的生活带来了一股能量旋风和意想不到的情感。随着他们关系的发展，两个角色都在彼此身上找到了安慰和治愈，但同时也面临着自己内心的恶魔。 《当我们相撞时》探讨了悲伤、精神疾病以及人际关系的深远影响等主题。
46,"We Love You, Charlie Freeman",5,../../media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,50.27,46,58.82,"""We Love You, Charlie Freeman"" is a novel written by Kaitlyn Greenidge. The book revolves around the Freeman family, who have been selected to take part in a controversial research experiment involving the teaching of sign language to a chimpanzee named Charlie. Set in the 1990s, the story delves into themes of race, identity, and the ways in which society views and treats animals. As the family becomes increasingly entangled in the ethical and moral implications of their participation, secrets begin to unravel, exposing deep-rooted tensions and forcing them to confront their own biases. ""We Love You, Charlie Freeman"" is a thought-provoking exploration of family dynamics and the complexities of human-animal relationships.","""Te amamos, Charlie Freeman"" es una novela escrita por Kaitlyn Greenidge. El libro gira en torno a la familia Freeman, que ha sido seleccionada para participar en un controvertido experimento de investigación que implica la enseñanza del lenguaje de señas a un chimpancé llamado Charlie. Ambientada en la década de 1990, la historia profundiza en temas de raza, identidad y la forma en que la sociedad ve y trata a los animales. A medida que la familia se enreda cada vez más en las implicaciones éticas y morales de su participación, los secretos comienzan a desvelarse, exponiendo tensiones profundamente arraigadas y obligándolos a enfrentar sus propios prejuicios. ""We Love You, Charlie Freeman"" es una exploración que invita a la reflexión sobre la dinámica familiar y las complejidades de las relaciones entre humanos y animales.",《我们爱你，查理·弗里曼》是凯特琳·格林尼奇创作的小说。这本书围绕弗里曼一家展开，他们被选中参加一项有争议的研究实验，该实验涉及向一只名叫查理的黑猩猩教授手语。该故事以 20 世纪 90 年代为背景，深入探讨种族、身份以及社会看待和对待动物的方式等主题。随着家庭越来越纠结于其参与的伦理和道德含义，秘密开始被揭开，暴露出根深蒂固的紧张关系，迫使他们面对自己的偏见。 《我们爱你，查理·弗里曼》对家庭动态和人与动物关系的复杂性进行了发人深省的探索。
47,Untitled Collection: Sabbath Poems 2014,4,../../media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg,14.27,47,16.7,"I apologize, but I couldn't find any specific information or text related to an ""Untitled Collection: Sabbath Poems 2014."" It's possible that this collection may not exist or that it is not widely known or available.","Pido disculpas, pero no pude encontrar ninguna información o texto específico relacionado con una ""Colección sin título: Poemas del sábado 2014"". Es posible que esta colección no exista o que no sea ampliamente conocida o no esté disponible.",抱歉，我找不到与“无题集：2014 年安息日诗”相关的任何具体信息或文本。该集合可能不存在或者不广为人知或不可用。
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,../../media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg,44.18,48,51.69,"""Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness"" is a book written by Nathanael Johnson. In this book, Johnson takes a unique perspective on urban wildlife, exploring the often-overlooked wonders that exist in our cities. From pigeons to snails, he reveals the beauty and complexity of these creatures' lives and the intricate ecological webs they form within urban environments. With a mix of personal anecdotes, scientific research, and philosophical musings, ""Unseen City"" invites readers to appreciate and connect with the natural world that surrounds us, even in the most unexpected places.","""Ciudad invisible: la majestuosidad de las palomas, el discreto encanto de los caracoles y otras maravillas del desierto urbano"" es un libro escrito por Nathanael Johnson. En este libro, Johnson adopta una perspectiva única sobre la vida silvestre urbana, explorando las maravillas que a menudo se pasan por alto que existen en nuestras ciudades. Desde palomas hasta caracoles, revela la belleza y complejidad de la vida de estas criaturas y las intrincadas redes ecológicas que forman dentro de los entornos urbanos. Con una mezcla de anécdotas personales, investigaciones científicas y reflexiones filosóficas, ""Unseen City"" invita a los lectores a apreciar y conectarse con el mundo natural que nos rodea, incluso en los lugares más inesperados.",《看不见的城市：鸽子的威严、蜗牛的谨慎魅力以及城市荒野的其他奇观》是纳撒尼尔·约翰逊写的一本书。在这本书中，约翰逊对城市野生动物采取了独特的视角，探索了我们城市中经常被忽视的奇观。从鸽子到蜗牛，他揭示了这些生物生活的美丽和复杂性，以及它们在城市环境中形成的错综复杂的生态网。 《看不见的城市》融合了个人轶事、科学研究和哲学思考，邀请读者欣赏并与我们周围的自然世界建立联系，即使是在最意想不到的地方。
49,Unicorn Tracks,3,../../media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg,18.78,49,21.97,"""Unicorn Tracks"" is a young adult fantasy novel written by Julia Ember. Set in a vibrant and diverse world, the story follows a young woman named Mnemba who works as a tracker in the Serengeti for a company that captures magical creatures. When she and her girlfriend, Kara, discover a trail thought to belong to the elusive and mythical unicorns, they embark on a dangerous journey, facing various obstacles and uncovering hidden truths. It's a tale of adventure, friendship, and discovering one's true self in the midst of a captivating and magical landscape.","""Unicorn Tracks"" es una novela de fantasía para adultos jóvenes escrita por Julia Ember. Ambientada en un mundo vibrante y diverso, la historia sigue a una joven llamada Mnemba que trabaja como rastreadora en el Serengeti para una empresa que captura criaturas mágicas. Cuando ella y su novia, Kara, descubren un rastro que se cree pertenece a los esquivos y míticos unicornios, se embarcan en un viaje peligroso, enfrentándose a varios obstáculos y descubriendo verdades ocultas. Es una historia de aventuras, amistad y descubrimiento de uno mismo en medio de un paisaje mágico y cautivador.",《独角兽轨迹》是朱莉娅·安伯创作的一部青少年奇幻小说。故事背景设定在一个充满活力和多样化的世界中，讲述了一位名叫 Mnemba 的年轻女子的故事，她在塞伦盖蒂平原的一家捕捉神奇生物的公司担任追踪员。当她和女友卡拉发现了一条被认为属于难以捉摸的神秘独角兽的踪迹时，他们踏上了危险的旅程，面对各种障碍并揭开隐藏的真相。这是一个关于冒险、友谊以及在迷人而神奇的风景中发现真实自我的故事。
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,../../media/cache/27/a1/27a1ebe79d6e6759ec68ea9f427a4f71.jpg,25.52,50,29.86,"""Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink"" is a non-fiction book written by Richard L. Currier. In this thought-provoking exploration, Currier examines the impact of eight key technologies throughout human history, including fire, weapons, agriculture, writing, and more. He delves into how these technologies have shaped our evolution, transformed societies, and brought us to our current global challenges. With a blend of scientific research, cultural analysis, and philosophical reflections, ""Unbound"" offers a compelling narrative of how our technological advancements have shaped our past and present, and urges readers to consider the risks and opportunities that lie ahead.","""Unbound: Cómo ocho tecnologías nos hicieron humanos, transformaron la sociedad y llevaron nuestro mundo al borde"" es un libro de no ficción escrito por Richard L. Currier. En esta exploración que invita a la reflexión, Currier examina el impacto de ocho tecnologías clave a lo largo de la historia de la humanidad, incluidos el fuego, las armas, la agricultura, la escritura y más. Profundiza en cómo estas tecnologías han dado forma a nuestra evolución, transformado las sociedades y nos han llevado a nuestros desafíos globales actuales. Con una combinación de investigación científica, análisis cultural y reflexiones filosóficas, ""Unbound"" ofrece una narrativa convincente de cómo nuestros avances tecnológicos han dado forma a nuestro pasado y presente, e insta a los lectores a considerar los riesgos y oportunidades que se avecinan.",《不受束缚：八种技术如何使我们成为人类、改变社会并将我们的世界推向崩溃的边缘》是理查德·L·柯里尔 (Richard L. Currier) 撰写的一本非小说类书籍。在这篇发人深省的探索中，柯里尔研究了人类历史上八项关键技术的影响，包括火、武器、农业、写作等。他深入研究了这些技术如何塑造我们的进化、改变社会并给我们带来当前的全球挑战。 《无拘无束》融合了科学研究、文化分析和哲学反思，以令人信服的方式讲述了我们的技术进步如何塑造了我们的过去和现在，并敦促读者考虑未来的风险和机遇。
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,../../media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg,16.28,51,19.05,"""Tsubasa: WoRLD CHRoNiCLE 2"" (Tsubasa WoRLD CHRoNiCLE #2) is a manga series written and illustrated by CLAMP. It is the second installment in the Tsubasa: WoRLD CHRoNiCLE series. The story follows the adventures of Syaoran and Sakura, who continue their quest to recover Sakura's memories across different dimensions. Packed with action, magic, and intricate plotlines, this manga delves into themes of love, sacrifice, and the interconnectedness of different worlds. As Syaoran and Sakura face new challenges and encounter familiar characters from other CLAMP series, the tension and mystery surrounding their ultimate goal deepens, making for an engaging and captivating read.","""Tsubasa: WoRLD CHRoNiCLE 2"" (Tsubasa WoRLD CHRoNiCLE #2) es una serie de manga escrita e ilustrada por CLAMP. Es la segunda entrega de la serie Tsubasa: WoRLD CHRoNiCLE. La historia sigue las aventuras de Syaoran y Sakura, quienes continúan su búsqueda para recuperar los recuerdos de Sakura en diferentes dimensiones. Lleno de acción, magia y tramas intrincadas, este manga profundiza en temas de amor, sacrificio y la interconexión de diferentes mundos. A medida que Syaoran y Sakura enfrentan nuevos desafíos y se encuentran con personajes familiares de otras series CLAMP, la tensión y el misterio que rodean su objetivo final se profundizan, lo que la convierte en una lectura atractiva y cautivadora.",《小翼：世界 CHRoNiCLE 2》（小翼：世界 CHRoNiCLE #2）是由 CLAMP 创作并插画的漫画系列。这是《小翼：WoRLD CHRoNiCLE》系列的第二部作品。故事讲述了小狼和小樱的冒险故事，他们继续寻求在不同维度恢复小樱的记忆。这部漫画充满了动作、魔法和错综复杂的情节，深入探讨了爱、牺牲和不同世界的相互联系等主题。当小狼和小樱面临新的挑战并遇到其他 CLAMP 系列中的熟悉角色时，围绕他们最终目标的紧张感和神秘感加深，读起来引人入胜。
